units_used,peak_hours_usage,appliance_count,lighting_type,avg_lighting_hours,tariff_type,season,previous_bill,efficiency_score,predicted_bill
163,105,9,CFL,2,Domestic,Winter,3977,6,1763
372,31,11,LED,3,Domestic,Winter,4126,4,2741
464,100,15,Bulb,3,Commercial,Summer,2748,10,3696
549,129,10,LED,2,Domestic,Summer,2841,9,3898
199,63,2,Bulb,10,Domestic,Monsoon,1855,3,1357
465,61,8,Bulb,3,Domestic,Monsoon,1252,3,3119
506,89,5,LED,9,Commercial,Winter,4635,5,3222
548,195,10,Bulb,9,Domestic,Monsoon,4084,7,4101
509,197,8,Bulb,8,Commercial,Winter,588,1,3775
315,50,5,LED,8,Commercial,Winter,1668,10,2112
146,120,2,LED,10,Commercial,Summer,815,9,1263
445,94,6,CFL,2,Domestic,Winter,5613,8,2988
103,108,10,LED,4,Domestic,Winter,1488,10,1529
162,151,3,LED,3,Commercial,Monsoon,5059,6,1509
578,192,7,LED,4,Domestic,Monsoon,3610,7,4049
581,37,7,Bulb,5,Commercial,Monsoon,3363,4,3576
236,142,9,Bulb,9,Commercial,Winter,4378,6,2257
452,50,2,LED,10,Commercial,Monsoon,3232,1,2623
298,95,2,Bulb,10,Domestic,Monsoon,2089,6,1969
478,77,8,LED,3,Commercial,Winter,1836,7,3236
452,129,7,CFL,10,Domestic,Winter,2677,5,3200
499,70,14,CFL,3,Commercial,Monsoon,3924,10,3717
446,147,4,CFL,4,Domestic,Winter,1953,6,3029
378,106,4,CFL,3,Domestic,Summer,5695,7,2548
491,177,15,LED,6,Commercial,Winter,1903,8,4078
106,87,12,LED,8,Domestic,Summer,4454,10,1610
99,125,3,LED,4,Commercial,Monsoon,2316,4,1102
407,100,7,CFL,7,Commercial,Winter,4864,7,2876
359,101,7,CFL,9,Commercial,Winter,5489,9,2632
489,15,5,Bulb,6,Commercial,Monsoon,4848,3,2901
310,137,6,CFL,3,Commercial,Monsoon,4153,2,2426
424,103,5,CFL,7,Domestic,Winter,1797,3,2842
295,130,8,CFL,9,Domestic,Monsoon,4590,1,2458
593,93,15,Bulb,7,Domestic,Winter,4431,10,4340
456,93,6,Bulb,7,Domestic,Summer,2606,7,3042
202,166,5,Bulb,5,Domestic,Summer,1610,9,1894
260,183,9,LED,7,Commercial,Monsoon,690,5,2510
451,115,12,Bulb,3,Domestic,Winter,4252,9,3479
72,102,3,LED,5,Domestic,Summer,824,10,890
415,53,5,Bulb,8,Commercial,Winter,1932,8,2638
157,117,5,LED,4,Commercial,Summer,3076,9,1508
519,48,10,LED,5,Commercial,Winter,2729,6,3488
146,52,13,LED,9,Commercial,Winter,5200,8,1771
529,197,4,Bulb,6,Domestic,Winter,2792,10,3615
398,121,7,CFL,8,Domestic,Summer,2866,7,2896
158,85,13,CFL,4,Commercial,Winter,1303,4,1937
273,12,8,LED,8,Domestic,Summer,5856,7,1973
78,137,13,LED,7,Domestic,Monsoon,2031,7,1688
532,119,6,LED,4,Domestic,Summer,3296,9,3516
395,32,3,CFL,7,Commercial,Summer,3051,10,2337
485,113,2,CFL,9,Commercial,Monsoon,2789,6,2992
377,89,12,LED,2,Commercial,Winter,2192,4,3015
261,127,6,LED,6,Commercial,Monsoon,3316,6,2142
330,132,9,CFL,3,Domestic,Summer,668,3,2711
120,182,3,Bulb,8,Domestic,Winter,2151,8,1390
253,76,15,CFL,4,Domestic,Summer,5477,7,2531
275,129,3,LED,2,Commercial,Monsoon,2012,10,2023
151,15,3,Bulb,6,Commercial,Summer,5633,7,1024
567,10,7,LED,8,Commercial,Summer,4781,10,3419
272,162,7,LED,3,Commercial,Winter,2255,7,2375
203,26,12,CFL,4,Domestic,Winter,962,8,1918
491,130,15,Bulb,6,Domestic,Monsoon,4436,1,3930
338,191,12,CFL,8,Domestic,Monsoon,2185,9,3135
322,27,4,LED,2,Domestic,Winter,822,1,2010
496,139,9,LED,3,Commercial,Monsoon,2982,10,3590
400,56,14,LED,4,Domestic,Monsoon,4112,5,3161
503,139,10,Bulb,10,Domestic,Monsoon,5520,3,3692
560,141,4,Bulb,3,Commercial,Summer,3017,10,3599
292,165,6,LED,2,Domestic,Winter,5789,2,2422
547,18,3,LED,9,Commercial,Monsoon,5095,4,3078
281,171,6,CFL,5,Commercial,Monsoon,1650,1,2384
515,39,9,Bulb,5,Commercial,Winter,4187,2,3373
414,19,7,LED,4,Commercial,Monsoon,5794,5,2657
412,149,15,Bulb,8,Commercial,Winter,2406,7,3582
254,131,8,Bulb,4,Commercial,Winter,5324,10,2250
360,172,12,Bulb,4,Commercial,Summer,2369,1,3189
486,66,11,CFL,3,Commercial,Winter,1972,7,3440
126,42,6,Bulb,2,Domestic,Summer,2241,7,1177
552,18,2,LED,5,Domestic,Winter,559,8,3038
507,78,11,CFL,3,Domestic,Winter,3264,6,3586
518,145,12,CFL,5,Domestic,Monsoon,5516,2,3920
119,80,7,Bulb,6,Domestic,Summer,4730,1,1326
270,132,5,CFL,3,Commercial,Winter,2282,10,2138
84,16,5,CFL,9,Domestic,Winter,4355,9,812
247,112,11,LED,2,Commercial,Monsoon,1237,4,2351
521,151,5,Bulb,2,Commercial,Winter,5711,3,3494
598,154,13,LED,10,Domestic,Monsoon,2362,3,4427
518,145,9,CFL,6,Domestic,Monsoon,4875,8,3723
200,74,8,Bulb,3,Domestic,Monsoon,2103,7,1791
115,54,14,CFL,10,Domestic,Monsoon,1798,8,1683
184,169,2,CFL,6,Domestic,Winter,5131,6,1614
384,123,5,LED,8,Commercial,Summer,5569,5,2699
584,43,15,CFL,5,Domestic,Monsoon,5753,5,4136
437,192,13,LED,8,Commercial,Winter,3038,3,3715
94,130,11,Bulb,10,Domestic,Monsoon,2720,1,1617
322,187,12,LED,5,Domestic,Winter,5822,3,3040
207,54,2,LED,5,Domestic,Winter,3598,3,1370
234,52,4,Bulb,9,Domestic,Winter,3693,2,1635
140,73,5,CFL,7,Commercial,Monsoon,2229,8,1281
57,134,8,CFL,4,Commercial,Monsoon,3567,8,1242
197,58,2,LED,3,Commercial,Monsoon,2447,9,1331
562,56,2,Bulb,3,Commercial,Monsoon,1385,1,3210
481,185,9,LED,10,Commercial,Winter,4049,9,3658
416,137,9,CFL,8,Commercial,Summer,3427,1,3171
297,43,13,CFL,9,Domestic,Monsoon,5903,3,2523
79,181,9,LED,4,Commercial,Monsoon,3278,3,1569
552,137,15,Bulb,7,Commercial,Monsoon,4228,2,4267
189,83,13,Bulb,3,Domestic,Monsoon,3070,6,2091
303,37,4,LED,7,Commercial,Winter,2167,5,1944
506,170,9,Bulb,4,Domestic,Winter,2102,1,3740
153,39,8,Bulb,2,Domestic,Monsoon,4288,10,1438
129,169,14,CFL,6,Domestic,Monsoon,5342,6,2118
348,46,2,Bulb,7,Domestic,Monsoon,4282,6,2073
454,107,5,LED,10,Commercial,Summer,3327,5,3010
594,180,2,CFL,6,Domestic,Winter,1145,8,3766
139,160,8,Bulb,2,Commercial,Summer,1661,9,1747
281,29,6,Bulb,2,Domestic,Winter,4555,3,1936
449,81,14,LED,5,Domestic,Winter,2533,3,3493
575,25,8,Bulb,9,Domestic,Summer,4918,10,3573
238,64,9,Bulb,4,Domestic,Winter,855,10,2022
114,155,8,LED,9,Commercial,Summer,5367,3,1602
238,197,9,LED,4,Commercial,Winter,2805,5,2441
339,66,10,Bulb,5,Commercial,Winter,3315,4,2615
564,40,11,LED,9,Commercial,Summer,3408,1,3761
232,51,10,CFL,4,Domestic,Winter,5681,1,2015
498,185,8,Bulb,2,Commercial,Summer,4330,7,3680
426,121,6,Bulb,5,Commercial,Summer,4105,5,2975
93,104,3,LED,7,Domestic,Monsoon,4537,8,1005
435,11,6,Bulb,7,Commercial,Winter,4797,9,2675
426,66,7,Bulb,9,Domestic,Summer,3625,3,2867
354,92,11,Bulb,7,Domestic,Winter,3620,7,2840
326,133,14,CFL,6,Commercial,Monsoon,5642,8,3022
238,96,12,CFL,2,Commercial,Winter,5486,10,2320
541,179,15,CFL,4,Commercial,Summer,1735,6,4343
107,18,13,LED,6,Commercial,Monsoon,3598,3,1463
50,189,15,CFL,6,Domestic,Summer,2814,5,1839
89,137,13,Bulb,4,Domestic,Monsoon,1317,9,1745
359,174,15,Bulb,5,Commercial,Monsoon,1632,4,3387
298,17,7,LED,2,Commercial,Summer,5649,9,2052
244,101,7,Bulb,9,Domestic,Winter,4702,7,2038
257,173,2,CFL,9,Domestic,Monsoon,1051,3,2003
310,133,6,CFL,9,Domestic,Winter,4830,5,2414
306,174,10,Bulb,7,Domestic,Winter,1562,1,2785
435,180,11,LED,4,Domestic,Summer,3013,2,3536
274,197,10,LED,9,Commercial,Summer,3663,1,2692
350,27,6,CFL,6,Commercial,Monsoon,2716,5,2286
577,20,15,Bulb,2,Commercial,Summer,5452,10,4028
164,86,7,LED,5,Commercial,Winter,3428,9,1577
397,181,4,Bulb,4,Domestic,Summer,2068,2,2883
404,53,15,LED,9,Domestic,Winter,2836,7,3238
483,76,7,LED,8,Domestic,Monsoon,1415,8,3193
537,49,10,LED,2,Domestic,Monsoon,2715,5,3584
396,27,6,CFL,3,Domestic,Summer,1754,2,2524
554,195,4,LED,5,Domestic,Summer,3638,6,3738
529,62,7,Bulb,7,Domestic,Summer,3456,9,3387
184,74,10,Bulb,8,Commercial,Winter,882,4,1840
518,191,9,LED,2,Domestic,Summer,5117,2,3868
57,181,14,Bulb,9,Commercial,Monsoon,2771,5,1784
329,77,2,Bulb,4,Domestic,Summer,533,10,2073
73,153,12,LED,5,Domestic,Monsoon,5880,1,1647
559,26,4,LED,8,Domestic,Summer,4155,1,3231
341,121,15,CFL,10,Commercial,Monsoon,636,6,3127
534,128,7,CFL,3,Commercial,Winter,2830,2,3620
228,79,14,CFL,6,Commercial,Monsoon,1252,9,2346
188,157,9,CFL,8,Commercial,Summer,2250,5,2056
180,83,6,LED,6,Domestic,Monsoon,938,3,1585
87,57,2,Bulb,6,Commercial,Winter,1090,6,760
253,180,10,LED,4,Domestic,Winter,950,5,2530
361,187,7,CFL,2,Domestic,Summer,3848,8,2913
505,71,14,Bulb,3,Domestic,Summer,2992,2,3751
244,14,5,LED,4,Commercial,Summer,5696,4,1632
448,26,5,Bulb,9,Domestic,Summer,3158,10,2723
141,115,13,LED,4,Domestic,Winter,4105,6,1944
468,83,7,LED,7,Domestic,Winter,5688,7,3138
150,32,11,LED,2,Commercial,Winter,953,8,1598
524,137,11,Bulb,2,Domestic,Monsoon,5693,2,3860
71,18,13,LED,3,Domestic,Summer,2186,10,1277
323,147,14,CFL,6,Commercial,Summer,810,5,3051
265,115,12,CFL,3,Commercial,Winter,1543,3,2519
584,199,5,LED,10,Domestic,Summer,5361,2,3971
428,137,6,Bulb,6,Domestic,Monsoon,1698,5,3036
71,166,3,CFL,4,Commercial,Winter,1615,3,1086
403,181,3,Bulb,7,Commercial,Winter,2893,1,2848
491,52,12,Bulb,4,Domestic,Summer,3202,5,3487
540,13,4,LED,6,Commercial,Monsoon,2005,8,3092
405,23,15,LED,10,Commercial,Winter,2084,7,3149
522,90,6,Bulb,2,Domestic,Winter,4929,9,3373
258,82,15,Bulb,5,Domestic,Monsoon,3875,9,2576
360,180,6,LED,3,Domestic,Monsoon,720,10,2820
251,92,11,CFL,2,Commercial,Winter,5147,2,2308
57,17,13,Bulb,2,Commercial,Winter,3307,8,1202
96,183,9,CFL,6,Domestic,Summer,5950,6,1663
346,111,13,Bulb,6,Commercial,Winter,3676,10,2990
181,194,7,LED,10,Domestic,Winter,2899,8,2006
58,55,7,CFL,6,Commercial,Summer,4720,8,932
246,106,6,LED,10,Domestic,Monsoon,1232,8,1998
447,144,4,Bulb,5,Commercial,Winter,4684,2,3025
102,145,4,CFL,7,Domestic,Monsoon,1939,8,1246
153,51,14,CFL,3,Commercial,Monsoon,3321,8,1870
274,172,8,LED,8,Commercial,Summer,4922,2,2482
554,196,4,LED,8,Commercial,Summer,3821,9,3741
140,72,2,LED,7,Commercial,Monsoon,3936,6,1081
139,126,13,CFL,9,Domestic,Summer,2465,8,1969
416,61,8,CFL,3,Commercial,Summer,711,10,2866
201,131,14,Bulb,4,Commercial,Winter,3121,7,2370
493,134,3,LED,2,Domestic,Summer,4050,3,3165
99,38,7,CFL,3,Domestic,Winter,3275,1,1090
199,16,14,Bulb,7,Domestic,Winter,2439,2,1997
417,33,5,Bulb,5,Commercial,Winter,693,1,2585
186,88,2,Bulb,10,Domestic,Monsoon,5833,9,1369
418,200,15,LED,2,Domestic,Summer,3109,9,3774
593,106,15,CFL,8,Commercial,Monsoon,4807,1,4381
194,186,3,LED,6,Domestic,Summer,5850,7,1785
388,139,4,CFL,3,Commercial,Winter,1404,6,2704
180,169,8,CFL,9,Domestic,Winter,1708,2,1987
93,111,4,CFL,4,Commercial,Summer,2581,2,1092
351,45,3,LED,2,Commercial,Monsoon,1096,3,2151
378,123,10,LED,8,Domestic,Monsoon,4239,5,2996
561,186,15,CFL,8,Commercial,Summer,4342,9,4468
508,200,13,CFL,4,Commercial,Summer,4310,2,4107
226,151,12,LED,6,Commercial,Monsoon,1116,6,2431
278,27,6,CFL,9,Commercial,Winter,2916,9,1914
90,74,6,CFL,3,Commercial,Summer,4717,9,1092
530,27,14,CFL,7,Commercial,Summer,5552,5,3741
522,41,15,Bulb,7,Domestic,Monsoon,4924,1,3810
197,33,4,CFL,6,Commercial,Monsoon,4521,3,1384
588,49,3,Bulb,2,Domestic,Summer,3656,5,3388
376,81,5,Bulb,3,Domestic,Monsoon,1119,9,2525
493,120,8,Bulb,10,Domestic,Monsoon,3479,7,3449
347,21,13,LED,10,Domestic,Summer,3888,5,2712
481,15,6,CFL,9,Commercial,Summer,3162,4,2925
116,23,15,CFL,3,Commercial,Monsoon,5050,5,1657
315,58,4,Bulb,5,Commercial,Winter,677,4,2072
120,96,15,Bulb,4,Domestic,Monsoon,2119,5,1907
514,106,9,LED,10,Domestic,Winter,3555,2,3579
58,194,5,LED,4,Domestic,Summer,4447,2,1239
91,88,10,Bulb,6,Domestic,Monsoon,4114,2,1404
169,132,13,Bulb,10,Domestic,Monsoon,3816,8,2142
94,173,14,CFL,9,Domestic,Winter,916,7,1950
221,67,7,LED,8,Domestic,Summer,4007,1,1812
142,65,11,Bulb,7,Domestic,Monsoon,1877,10,1660
552,151,6,CFL,6,Domestic,Monsoon,1981,6,3720
515,15,13,LED,8,Commercial,Monsoon,2466,3,3560
162,68,5,LED,6,Domestic,Summer,2628,9,1379
84,123,13,Bulb,9,Commercial,Winter,5514,2,1675
133,74,3,LED,5,Domestic,Summer,2723,8,1117
256,54,14,Bulb,5,Commercial,Winter,1422,7,2412
79,153,6,Bulb,8,Commercial,Summer,1312,2,1284
346,51,9,CFL,2,Commercial,Summer,2729,2,2538
533,54,7,LED,8,Commercial,Winter,5711,10,3382
375,39,2,CFL,9,Commercial,Monsoon,2963,6,2190
273,162,9,CFL,9,Domestic,Summer,3635,4,2511
477,173,6,CFL,3,Domestic,Summer,2177,1,3402
272,181,9,CFL,4,Commercial,Monsoon,3297,4,2566
145,71,5,CFL,6,Commercial,Winter,848,4,1301
205,20,13,CFL,2,Domestic,Monsoon,4666,10,1975
283,75,11,LED,7,Domestic,Monsoon,1064,6,2420
510,22,8,LED,10,Commercial,Winter,1711,4,3228
562,139,14,Bulb,7,Domestic,Monsoon,1041,9,4260
479,188,10,Bulb,8,Commercial,Monsoon,4591,1,3723
184,178,6,CFL,7,Commercial,Monsoon,1845,7,1905
115,108,7,Bulb,10,Domestic,Winter,5876,8,1394
383,14,9,LED,8,Commercial,Monsoon,3626,9,2613
501,68,8,Bulb,3,Commercial,Winter,3457,1,3327
207,152,10,CFL,7,Commercial,Monsoon,1302,6,2205
469,90,10,Bulb,10,Domestic,Monsoon,2413,3,3362
205,153,5,CFL,6,Domestic,Winter,3526,2,1869
267,77,3,Bulb,5,Domestic,Summer,2656,7,1818
269,23,12,LED,2,Commercial,Monsoon,3047,1,2250
277,123,11,LED,8,Commercial,Summer,3644,1,2540
394,84,13,LED,10,Domestic,Summer,4981,4,3153
465,66,5,CFL,9,Domestic,Monsoon,4655,5,2937
262,31,12,Bulb,10,Domestic,Summer,4211,5,2239
397,58,5,CFL,8,Domestic,Winter,3502,10,2561
461,67,11,CFL,5,Domestic,Winter,5324,1,3314
187,127,5,Bulb,7,Domestic,Winter,3161,10,1694
504,54,9,Bulb,5,Commercial,Winter,4031,5,3364
235,115,2,Bulb,5,Domestic,Summer,4768,2,1707
226,197,13,Bulb,8,Commercial,Winter,3307,1,2642
87,146,2,LED,6,Commercial,Winter,2144,4,1040
512,181,13,CFL,8,Domestic,Winter,5141,9,4068
140,125,5,CFL,8,Domestic,Monsoon,5118,4,1445
342,61,10,CFL,3,Commercial,Summer,3434,8,2615
283,68,15,Bulb,6,Domestic,Monsoon,5367,7,2661
177,145,6,CFL,6,Commercial,Monsoon,3243,7,1765
339,22,7,CFL,9,Domestic,Winter,1908,10,2279
552,111,9,CFL,2,Domestic,Summer,5177,8,3791
535,188,14,LED,7,Domestic,Summer,3717,6,4275
467,160,7,Bulb,2,Domestic,Monsoon,1592,3,3375
134,121,14,LED,9,Domestic,Winter,3391,4,1993
513,109,8,Bulb,6,Commercial,Summer,5868,6,3518
321,121,8,CFL,7,Commercial,Summer,2715,6,2564
457,180,11,LED,6,Commercial,Summer,1934,10,3650
224,161,8,Bulb,8,Domestic,Summer,5708,4,2189
484,90,5,CFL,3,Commercial,Summer,1816,5,3111
143,89,2,CFL,2,Commercial,Summer,2405,2,1150
143,187,11,LED,2,Commercial,Summer,2226,5,2050
281,54,14,CFL,2,Commercial,Summer,1640,7,2541
374,166,11,LED,5,Domestic,Winter,2537,4,3177
558,137,10,Bulb,3,Commercial,Winter,3479,7,3970
502,24,3,LED,8,Commercial,Summer,1906,7,2865
188,144,11,Bulb,7,Commercial,Summer,3926,9,2147
265,35,14,LED,8,Commercial,Winter,4960,9,2398
425,54,5,CFL,9,Domestic,Monsoon,4398,6,2693
73,180,10,Bulb,2,Domestic,Winter,3607,10,1601
591,103,14,CFL,3,Domestic,Summer,2675,5,4296
242,176,10,LED,3,Domestic,Summer,1072,8,2461
564,25,10,CFL,8,Domestic,Summer,5548,3,3648
155,189,10,Bulb,7,Commercial,Winter,3941,5,2053
407,173,14,LED,6,Commercial,Summer,3624,2,3566
207,129,5,Bulb,8,Commercial,Monsoon,1660,3,1804
462,85,3,LED,6,Commercial,Winter,4856,7,2850
161,75,13,Bulb,10,Domestic,Summer,2112,9,1921
216,41,14,LED,3,Domestic,Summer,2036,1,2164
322,86,3,CFL,2,Domestic,Monsoon,5763,2,2131
367,105,9,Bulb,8,Commercial,Winter,686,7,2817
318,17,6,LED,10,Commercial,Winter,4263,10,2089
546,45,5,CFL,7,Commercial,Summer,4046,5,3289
566,41,13,CFL,2,Domestic,Monsoon,1380,1,3906
102,154,11,CFL,5,Commercial,Monsoon,2453,5,1734
436,165,10,Bulb,7,Domestic,Monsoon,5596,8,3428
209,83,12,LED,10,Domestic,Monsoon,4268,7,2129
394,21,4,LED,3,Domestic,Monsoon,3985,7,2363
403,69,10,LED,10,Commercial,Monsoon,936,7,2955
487,27,3,Bulb,10,Domestic,Summer,4853,1,2797
403,27,12,CFL,7,Commercial,Winter,4627,10,2954
426,181,14,Bulb,2,Domestic,Monsoon,1690,6,3690
506,16,6,LED,7,Commercial,Summer,4377,10,3057
188,80,4,CFL,9,Domestic,Winter,1812,5,1485
395,171,15,Bulb,5,Domestic,Summer,2153,5,3564
251,117,12,LED,2,Commercial,Winter,3570,6,2453
478,137,11,LED,2,Domestic,Winter,4536,4,3622
63,48,5,CFL,5,Commercial,Summer,5529,7,805
134,104,14,Bulb,9,Commercial,Winter,5001,9,1939
511,49,12,Bulb,10,Domestic,Monsoon,2004,6,3581
595,138,14,LED,4,Domestic,Winter,5883,7,4427
87,138,13,Bulb,10,Domestic,Winter,5967,6,1738
327,143,15,Bulb,8,Domestic,Winter,3969,7,3124
243,147,2,LED,2,Domestic,Monsoon,1108,1,1849
214,24,5,CFL,9,Commercial,Monsoon,567,4,1509
119,145,7,Bulb,2,Domestic,Summer,3466,10,1531
287,25,5,CFL,6,Domestic,Monsoon,2273,2,1889
482,176,7,Bulb,3,Domestic,Monsoon,3048,1,3503
256,95,14,LED,4,Commercial,Summer,1081,10,2541
599,178,2,CFL,3,Commercial,Winter,3761,4,3785
140,78,6,LED,8,Domestic,Winter,4309,5,1363
282,163,7,Bulb,8,Domestic,Winter,4711,7,2429
357,18,9,LED,3,Domestic,Monsoon,2553,8,2491
523,93,2,Bulb,2,Commercial,Monsoon,3230,9,3125
482,123,2,Bulb,6,Commercial,Summer,2883,1,3008
238,41,7,CFL,10,Domestic,Winter,2869,9,1818
213,165,4,CFL,5,Domestic,Summer,2843,4,1882
555,136,12,Bulb,10,Commercial,Winter,1645,3,4083
150,110,13,LED,2,Commercial,Winter,1112,2,1975
342,12,3,Bulb,8,Commercial,Summer,2166,9,2001
185,53,13,LED,2,Commercial,Winter,684,4,1976
206,108,8,Bulb,10,Domestic,Monsoon,5908,10,1929
534,90,3,CFL,5,Commercial,Summer,3453,5,3238
58,146,15,LED,3,Domestic,Monsoon,2054,2,1745
158,77,8,Bulb,7,Domestic,Monsoon,4623,9,1584
240,14,4,CFL,2,Domestic,Summer,2123,9,1546
321,79,9,Bulb,8,Domestic,Monsoon,5619,3,2497
86,138,3,Bulb,10,Commercial,Summer,3436,8,1076
228,95,8,CFL,6,Commercial,Monsoon,850,2,2002
194,150,13,Bulb,8,Commercial,Monsoon,640,1,2328
112,189,6,Bulb,10,Domestic,Winter,2771,4,1568
202,165,3,Bulb,8,Commercial,Winter,1987,9,1760
291,191,11,CFL,3,Commercial,Summer,4439,6,2827
181,181,7,CFL,8,Domestic,Monsoon,3832,6,1965
297,20,13,Bulb,2,Commercial,Monsoon,3301,8,2450
377,34,10,Bulb,4,Commercial,Monsoon,3319,5,2711
596,17,11,LED,3,Commercial,Summer,4480,6,3854
127,185,2,CFL,7,Commercial,Summer,3693,4,1370
512,21,5,Bulb,6,Commercial,Monsoon,2802,6,3038
368,173,15,Bulb,5,Commercial,Monsoon,1295,10,3431
135,144,6,LED,10,Commercial,Monsoon,5699,5,1545
350,190,12,CFL,2,Domestic,Summer,1032,7,3194
151,55,15,LED,2,Commercial,Winter,578,5,1938
57,179,10,Bulb,4,Domestic,Monsoon,2639,4,1515
356,49,8,Bulb,6,Commercial,Summer,4317,8,2518
563,157,4,Bulb,3,Domestic,Winter,2572,7,3665
417,15,8,LED,3,Domestic,Summer,5648,1,2726
337,34,11,LED,7,Domestic,Monsoon,4477,7,2570
296,122,7,CFL,7,Commercial,Winter,3722,2,2373
489,58,5,Bulb,10,Domestic,Winter,5339,5,3036
551,173,15,CFL,4,Commercial,Monsoon,4127,10,4376
308,33,7,LED,10,Commercial,Winter,5941,9,2154
458,38,10,CFL,2,Domestic,Winter,3810,5,3141
414,75,4,Bulb,5,Commercial,Summer,3852,4,2637
562,113,10,Bulb,7,Domestic,Monsoon,1173,4,3915
392,162,9,LED,2,Commercial,Winter,2996,8,3126
330,17,7,LED,3,Domestic,Monsoon,4941,8,2217
528,192,15,LED,4,Domestic,Monsoon,4710,4,4317
512,50,9,Bulb,3,Commercial,Monsoon,3969,5,3392
338,157,8,Bulb,6,Commercial,Winter,1185,5,2765
269,119,7,LED,10,Domestic,Winter,3692,4,2224
358,93,12,CFL,8,Domestic,Winter,5905,10,2930
279,137,2,Bulb,9,Domestic,Monsoon,2276,9,2003
280,37,7,LED,8,Commercial,Monsoon,2369,2,2022
373,80,15,LED,6,Commercial,Summer,1221,5,3163
119,160,12,Bulb,2,Commercial,Monsoon,1876,2,1907
505,101,4,LED,4,Domestic,Winter,1519,2,3189
279,108,15,LED,7,Domestic,Monsoon,5785,10,2766
359,152,6,CFL,10,Domestic,Summer,948,8,2727
356,35,12,LED,8,Domestic,Monsoon,2430,4,2737
352,149,8,LED,6,Commercial,Monsoon,4479,4,2812
590,13,13,LED,2,Domestic,Monsoon,1644,1,3941
569,14,15,LED,3,Commercial,Winter,1579,1,3968
156,48,11,Bulb,10,Commercial,Winter,5650,6,1679
347,118,10,CFL,3,Commercial,Winter,3053,10,2820
555,87,12,LED,7,Commercial,Winter,5440,7,3928
148,57,13,Bulb,8,Domestic,Monsoon,1231,10,1798
361,10,5,LED,2,Commercial,Winter,1048,5,2224
206,168,6,CFL,5,Commercial,Summer,3813,1,1987
124,57,13,Bulb,2,Domestic,Winter,3719,7,1674
360,183,14,LED,10,Commercial,Monsoon,3721,6,3355
175,186,13,Bulb,9,Domestic,Winter,3771,1,2344
267,87,11,Bulb,5,Domestic,Monsoon,1669,8,2375
68,31,6,LED,5,Commercial,Summer,5407,2,843
446,57,2,Bulb,10,Commercial,Monsoon,3487,5,2614
131,147,2,CFL,3,Commercial,Monsoon,3506,9,1271
485,61,11,CFL,10,Domestic,Winter,3877,5,3419
128,65,11,CFL,10,Commercial,Monsoon,3133,8,1588
169,179,2,CFL,2,Domestic,Summer,1773,8,1568
551,173,4,Bulb,8,Domestic,Monsoon,5066,3,3653
220,165,2,Bulb,5,Commercial,Summer,647,1,1787
280,95,4,CFL,10,Commercial,Monsoon,3392,1,2008
109,22,10,CFL,7,Commercial,Summer,4652,4,1289
306,50,4,CFL,8,Domestic,Summer,5371,1,2000
467,69,9,Bulb,10,Domestic,Monsoon,5316,4,3220
307,166,15,CFL,3,Commercial,Summer,2772,1,3094
355,190,15,LED,7,Domestic,Summer,5536,1,3417
318,155,15,LED,10,Commercial,Monsoon,5673,1,3116
164,54,6,Bulb,5,Commercial,Monsoon,2203,2,1411
203,89,7,CFL,4,Commercial,Winter,2586,8,1788
579,39,9,CFL,10,Commercial,Summer,1595,4,3704
530,57,5,LED,10,Commercial,Summer,539,7,3245
575,179,13,Bulb,9,Domestic,Winter,4120,8,4387
584,44,8,LED,4,Domestic,Summer,5438,6,3680
453,86,2,Bulb,8,Commercial,Summer,609,10,2741
490,151,3,LED,3,Domestic,Monsoon,564,1,3203
442,112,7,CFL,10,Domestic,Winter,4070,3,3095
166,200,13,LED,5,Commercial,Monsoon,2934,10,2341
244,166,13,CFL,9,Domestic,Monsoon,4965,1,2637
485,102,3,Bulb,6,Commercial,Monsoon,3128,10,3023
518,189,3,CFL,3,Commercial,Monsoon,5137,10,3467
169,198,10,CFL,3,Commercial,Monsoon,5403,8,2153
280,165,9,LED,10,Domestic,Summer,5688,4,2557
162,53,3,CFL,6,Domestic,Summer,5406,10,1200
124,167,7,LED,4,Commercial,Monsoon,5168,6,1626
350,111,2,CFL,5,Domestic,Winter,1905,5,2288
72,62,8,LED,6,Domestic,Winter,4546,7,1092
204,167,12,CFL,2,Domestic,Winter,2603,10,2368
223,76,7,Bulb,4,Domestic,Summer,1140,2,1851
270,46,5,Bulb,6,Commercial,Winter,946,1,1867
257,96,8,CFL,4,Commercial,Summer,1011,3,2155
454,40,4,LED,10,Domestic,Winter,3958,3,2733
416,122,4,LED,6,Commercial,Winter,1735,9,2795
537,48,6,LED,2,Domestic,Monsoon,5979,1,3318
203,151,8,CFL,7,Domestic,Monsoon,1038,6,2049
294,39,3,CFL,9,Domestic,Summer,5369,8,1838
191,36,5,CFL,4,Commercial,Monsoon,4984,3,1428
128,51,10,Bulb,3,Commercial,Winter,3701,1,1478
167,188,4,CFL,7,Commercial,Summer,751,8,1717
164,140,13,LED,7,Commercial,Winter,623,9,2142
507,18,4,CFL,3,Commercial,Monsoon,5558,7,2937
377,92,2,LED,2,Commercial,Monsoon,4566,3,2368
460,46,15,Bulb,5,Domestic,Summer,4410,4,3506
223,180,13,CFL,3,Commercial,Winter,507,4,2573
218,84,6,LED,8,Domestic,Winter,3667,1,1784
